Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against,Total Players,Average Age,Cap Space,Total Cap,Long0term IR,Active,Injured
Colorado Avalanche,2015,82.0,39.0,39.0,4.0,82.0,0.5,212.0,240.0,53,26.5,8632058,62767942,0.0,52563831,4500000.0
Edmonton Oilers,2015,82.0,31.0,43.0,8.0,70.0,0.427,199.0,242.0,54,25.9,2634538,68765462,0.0,54444025,5394167.0
Vancouver Canucks,2015,82.0,31.0,38.0,13.0,75.0,0.457,186.0,239.0,48,27.2,0,71693645,293645.0,61257292,3300000.0
Anaheim Ducks,2015,82.0,46.0,25.0,11.0,103.0,0.628,215.0,188.0,58,26.7,8207477,63192523,0.0,59322791,0.0
Dallas Stars,2015,82.0,50.0,23.0,9.0,109.0,0.665,265.0,228.0,51,26.9,5267034,66132966,0.0,64281561,0.0
Los Angeles Kings,2015,82.0,48.0,28.0,6.0,102.0,0.622,223.0,192.0,51,27.3,0,76675934,5275934.0,61183940,5825000.0
San Jose Sharks,2015,82.0,46.0,30.0,6.0,98.0,0.598,237.0,207.0,54,27.6,1724807,69675193,0.0,64878875,0.0
Columbus Blue Jackets,2015,82.0,34.0,40.0,8.0,76.0,0.463,213.0,248.0,52,27.0,3462452,67937548,0.0,58119731,5657143.0
Minnesota Wild,2015,82.0,38.0,33.0,11.0,87.0,0.53,213.0,204.0,53,27.3,1533462,69866538,0.0,65817470,0.0
Winnipeg Jets,2015,82.0,35.0,39.0,8.0,78.0,0.476,212.0,236.0,44,25.0,14361600,57038400,0.0,48642298,2066667.0
Arizona Coyotes,2015,82.0,35.0,39.0,8.0,78.0,0.476,208.0,244.0,63,27.4,6349068,65050932,0.0,48529359,1991667.0
New Jersey Devils,2016,82.0,28.0,40.0,14.0,70.0,0.427,180.0,241.0,62,26.3,9615807,63384193,0.0,49974139,0.0
New York Islanders,2016,82.0,41.0,29.0,12.0,94.0,0.573,239.0,238.0,48,27.6,2070581,70929419,0.0,65208186,5000000.0
New York Rangers,2016,82.0,48.0,28.0,6.0,102.0,0.622,253.0,216.0,51,26.8,375352,73375352,0.0,71547877,1000000.0
Philadelphia Flyers,2016,82.0,39.0,33.0,10.0,88.0,0.537,212.0,231.0,55,26.7,1563822,74563822,0.0,68131736,3190000.0
Pittsburgh Penguins,2016,82.0,50.0,21.0,11.0,111.0,0.677,278.0,229.0,50,28.0,0,74097288,1097288.0,56906619,11333333.0
Boston Bruins,2016,82.0,44.0,31.0,7.0,95.0,0.579,232.0,209.0,52,27.3,1772546,74772546,0.0,72717627,0.0
Buffalo Sabres,2016,82.0,33.0,37.0,12.0,78.0,0.476,199.0,231.0,51,25.8,534996,72465004,0.0,67827807,2450000.0
Montréal Canadiens,2016,82.0,47.0,26.0,9.0,103.0,0.628,223.0,198.0,54,27.9,1453080,74453080,0.0,69634519,0.0
Ottawa Senators,2016,82.0,44.0,28.0,10.0,98.0,0.598,206.0,210.0,54,27.6,2947622,75947622,0.0,74408828,400000.0
Toronto Maple Leafs,2016,82.0,40.0,27.0,15.0,95.0,0.579,250.0,234.0,59,25.9,0,76495820,3495820.0,49970980,0.0
Carolina Hurricanes,2016,82.0,36.0,31.0,15.0,87.0,0.53,212.0,230.0,56,25.4,17929117,55070883,0.0,40439216,6000000.0
Florida Panthers,2016,82.0,35.0,36.0,11.0,81.0,0.494,205.0,231.0,54,28.1,8324563,64675437,0.0,61338323,0.0
Tampa Bay Lightning,2016,82.0,42.0,30.0,10.0,94.0,0.573,230.0,224.0,63,25.9,8943909,64056091,0.0,41345073,5800000.0
Washington Capitals,2016,82.0,55.0,19.0,8.0,118.0,0.72,261.0,177.0,48,27.8,952827,73952827,0.0,73507894,0.0
Chicago Blackhawks,2016,82.0,50.0,23.0,9.0,109.0,0.665,240.0,212.0,47,27.9,2406779,70593221,0.0,69407871,0.0
Detroit Red Wings,2016,82.0,33.0,36.0,13.0,79.0,0.482,198.0,244.0,53,27.7,0,74505703,1505703.0,59278566,625000.0
Nashville Predators,2016,82.0,41.0,29.0,12.0,94.0,0.573,238.0,220.0,55,26.8,2208897,70791103,0.0,64482992,0.0
St. Louis Blues,2016,82.0,46.0,29.0,7.0,99.0,0.604,233.0,216.0,56,27.5,2324016,70675984,0.0,66763063,894167.0
Calgary Flames,2016,82.0,45.0,33.0,4.0,94.0,0.573,222.0,219.0,54,26.8,0,74332972,1332972.0,68318863,0.0
Colorado Avalanche,2016,82.0,22.0,56.0,4.0,48.0,0.293,165.0,276.0,54,26.4,3031306,69968694,0.0,54874072,6794167.0
Edmonton Oilers,2016,82.0,47.0,26.0,9.0,103.0,0.628,243.0,207.0,54,25.5,3319480,69680520,0.0,61094013,725000.0
Vancouver Canucks,2016,82.0,30.0,43.0,9.0,69.0,0.421,178.0,241.0,55,26.3,6575744,66424256,0.0,49879044,14175302.0
Anaheim Ducks,2016,82.0,46.0,23.0,13.0,105.0,0.64,220.0,197.0,58,26.4,0,76954459,3954459.0,67905707,0.0
Dallas Stars,2016,82.0,34.0,37.0,11.0,79.0,0.482,222.0,260.0,51,27.6,5490952,67509048,0.0,62602555,733750.0
Los Angeles Kings,2016,82.0,39.0,35.0,8.0,86.0,0.524,199.0,201.0,52,28.1,5349869,78349869,0.0,68212757,2500000.0
San Jose Sharks,2016,82.0,46.0,29.0,7.0,99.0,0.604,219.0,200.0,49,28.7,385869,73385869,0.0,69908334,0.0
Columbus Blue Jackets,2016,82.0,50.0,24.0,8.0,108.0,0.659,247.0,193.0,59,24.9,0,73033208,33208.0,64363731,0.0
Minnesota Wild,2016,82.0,49.0,25.0,8.0,106.0,0.646,263.0,206.0,52,27.3,2007092,75007092,0.0,70256805,366935.0
Winnipeg Jets,2016,82.0,40.0,35.0,7.0,87.0,0.53,246.0,255.0,45,25.6,8886378,64113622,0.0,57245375,5500000.0
Arizona Coyotes,2016,82.0,30.0,42.0,10.0,70.0,0.427,191.0,258.0,61,25.4,0,73017656,17656.0,45959636,2083333.0
New Jersey Devils,2017,82.0,44.0,29.0,9.0,97.0,0.591,243.0,240.0,58,26.2,0,75442295,442295.0,68306901,0.0
New York Islanders,2017,82.0,35.0,37.0,10.0,80.0,0.488,261.0,293.0,48,26.6,2230566,72769434,0.0,60959514,10820833.0
New York Rangers,2017,82.0,34.0,39.0,9.0,77.0,0.47,228.0,263.0,58,26.7,6744104,68255896,0.0,49944513,7300000.0
Philadelphia Flyers,2017,82.0,42.0,26.0,14.0,98.0,0.598,249.0,236.0,56,26.8,66826,74933174,0.0,72714506,0.0
Pittsburgh Penguins,2017,82.0,47.0,29.0,6.0,100.0,0.61,270.0,248.0,55,27.0,630640,74369360,0.0,72643750,625000.0
Boston Bruins,2017,82.0,50.0,20.0,12.0,112.0,0.683,267.0,211.0,54,28.7,204391,75204391,0.0,67776586,1727266.0
Buffalo Sabres,2017,82.0,25.0,45.0,12.0,62.0,0.378,198.0,278.0,52,26.4,10395162,64604838,0.0,51659794,6742857.0
Montréal Canadiens,2017,82.0,29.0,40.0,13.0,71.0,0.433,207.0,258.0,51,25.6,13739290,61260710,0.0,51382413,8857143.0
Ottawa Senators,2017,82.0,28.0,43.0,11.0,67.0,0.409,219.0,284.0,64,27.5,7843690,67156310,0.0,54818921,4300000.0
Toronto Maple Leafs,2017,82.0,49.0,26.0,7.0,105.0,0.64,270.0,230.0,56,27.5,0,80251776,5251776.0,64322839,0.0
Carolina Hurricanes,2017,82.0,36.0,35.0,11.0,83.0,0.506,225.0,253.0,54,26.2,17126012,57873988,0.0,49691104,0.0
Florida Panthers,2017,82.0,44.0,30.0,8.0,96.0,0.585,245.0,243.0,48,26.3,5717659,69282341,0.0,65865265,0.0
Tampa Bay Lightning,2017,82.0,54.0,23.0,5.0,113.0,0.689,290.0,234.0,56,26.6,3018887,78018887,0.0,75849274,0.0
Washington Capitals,2017,82.0,49.0,26.0,7.0,105.0,0.64,256.0,238.0,52,26.2,2332485,77332485,0.0,76907357,0.0
